market_name,genres,lengths,response_time,description,row_number,tagged_description
Nonbinary Review - Poetry,Poetry Poetry Poetry General,Poetry,35 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        We're looking for work we can read with our whole body - work that gives us goosebumps, makes us see the world differently, has the tang of authenticity, makes us sit up and listen, and smells like....something. This analogy got out of hand. What we're saying is that we're not looking for re-hashes of images or stories we've read before. We want contributors to explore every facet of our themes, really getting in between the cracks, in the corners, all the forgotten places that no one ever thinks to explore. We want to read work that makes us think ""I never would have thought of this, and yet, it's so fitting!""",142,"142 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        We're looking for work we can read with our whole body - work that gives us goosebumps, makes us see the world differently, has the tang of authenticity, makes us sit up and listen, and smells like....something. This analogy got out of hand. What we're saying is that we're not looking for re-hashes of images or stories we've read before. We want contributors to explore every facet of our themes, really getting in between the cracks, in the corners, all the forgotten places that no one ever thinks to explore. We want to read work that makes us think ""I never would have thought of this, and yet, it's so fitting!"""
Noon Annual,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",20 days,"NOON IS AN INDEPENDENT NOT-FOR-PROFIT LITERARY ANNUAL PUBLISHED BY NOON, INC.",143,"143 NOON IS AN INDEPENDENT NOT-FOR-PROFIT LITERARY ANNUAL PUBLISHED BY NOON, INC."
North Dakota Quarterly - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",121 days,"Literary preferences are very subjective. There are no fixed, universal, or objective criteria that we use when we read fiction submissions. In recent issues of NDQ we have published stories in which the setting is clearly identified, characters are properly named and introduced, the action progresses on a linear axis, and things, generally speaking, are far from confusing. WeÉ??re not against that. But weÉ??ve also published a partially hallucinatory story about an incompetent broomball player, a theologically equivocal story about a Jesuit novice on an Indian reservation, a story from the perspective of a twice-kidnapped boy, a 4,000-word one-sentence story, a story about an imaginary novel, and a story about sheep in ScotlandÉ??from the perspective of a sheep. Ultimately, weÉ??re looking for multiple perspectives, different voices, and a variety of approaches to fiction. These approaches can revolve around uncertainty, ambiguity, fragmentation, polyphony, contradictory information, structural experimentation, and all the other things that teachers of freshman composition tell us we must eliminate or avoid. In other words, we value the willingness to treat fiction as textual art and take literary risks. Naturally, there is no guarantee that innovation will yield good results. But when it comes to art, it might be better to fail with something original than to play it safe with a predictable formula.",145,"145 Literary preferences are very subjective. There are no fixed, universal, or objective criteria that we use when we read fiction submissions. In recent issues of NDQ we have published stories in which the setting is clearly identified, characters are properly named and introduced, the action progresses on a linear axis, and things, generally speaking, are far from confusing. WeÉ??re not against that. But weÉ??ve also published a partially hallucinatory story about an incompetent broomball player, a theologically equivocal story about a Jesuit novice on an Indian reservation, a story from the perspective of a twice-kidnapped boy, a 4,000-word one-sentence story, a story about an imaginary novel, and a story about sheep in ScotlandÉ??from the perspective of a sheep. Ultimately, weÉ??re looking for multiple perspectives, different voices, and a variety of approaches to fiction. These approaches can revolve around uncertainty, ambiguity, fragmentation, polyphony, contradictory information, structural experimentation, and all the other things that teachers of freshman composition tell us we must eliminate or avoid. In other words, we value the willingness to treat fiction as textual art and take literary risks. Naturally, there is no guarantee that innovation will yield good results. But when it comes to art, it might be better to fail with something original than to play it safe with a predictable formula."
Northodox Press,Novel Novel Novel General,Novel,67 days,"Limited Demographic:  authors born in or currently living in Nothern England 
                                                                        we cater to readers of general fiction and genre fiction.",146,"146 Limited Demographic:  authors born in or currently living in Nothern England 
                                                                        we cater to readers of general fiction and genre fiction."
Not One of Us - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Fantasy, Horror, Science Fiction, Western","Flash, Short Story",13 days,"Not One of Us is about people (or things) out of place in their surroundings, outsiders, social misfits, aliens in the SF senseÉ??anyone excluded from society for whatever the reason. WeÉ??d like Not One of Us to consider the problem of É??othernessÉ?ù from every possible fictional angle: horror, SF, fantasy, noir, slipstream, Western, mainstream, whatever. The editorial philosophy of the magazine reflects my own personal taste in genre fiction. To me the scariest and most deeply moving horror stories are not about monsters or about good vs. evil, but rather about the readerÉ??s own fears and discomforts. Similarly, for Not One of Us, fantasy isnÉ??t about pseudo-medieval worlds, science fiction isnÉ??t about space opera or funny-sounding names, Westerns are not about gunfights. In our magazine, itÉ??s all about the characters. We crave characters (human or otherwise) who are different and who act the way they do out of plausible (if occasionally insane) motives. All the wondrous settings and complex plots in the world will fail to convince me if at the center of the tale there isnÉ??t a protagonist with whom I can somehow empathize. I donÉ??t have to like that character: heaven knows weÉ??ve had some pretty nasty protagonists, and empathy is not the same as excuse-making. But I want to get some insight into the character, and vicariously into myself. Also, I like stories, and characters, with edge.",147,"147 Not One of Us is about people (or things) out of place in their surroundings, outsiders, social misfits, aliens in the SF senseÉ??anyone excluded from society for whatever the reason. WeÉ??d like Not One of Us to consider the problem of É??othernessÉ?ù from every possible fictional angle: horror, SF, fantasy, noir, slipstream, Western, mainstream, whatever. The editorial philosophy of the magazine reflects my own personal taste in genre fiction. To me the scariest and most deeply moving horror stories are not about monsters or about good vs. evil, but rather about the readerÉ??s own fears and discomforts. Similarly, for Not One of Us, fantasy isnÉ??t about pseudo-medieval worlds, science fiction isnÉ??t about space opera or funny-sounding names, Westerns are not about gunfights. In our magazine, itÉ??s all about the characters. We crave characters (human or otherwise) who are different and who act the way they do out of plausible (if occasionally insane) motives. All the wondrous settings and complex plots in the world will fail to convince me if at the center of the tale there isnÉ??t a protagonist with whom I can somehow empathize. I donÉ??t have to like that character: heaven knows weÉ??ve had some pretty nasty protagonists, and empathy is not the same as excuse-making. But I want to get some insight into the character, and vicariously into myself. Also, I like stories, and characters, with edge."
Not One of Us - Poetry,"Poetry Poetry Poetry General, Fantasy, Horror, Science Fiction, Western",Poetry,7 days,"Not One of Us is about people (or things) out of place in their surroundings, outsiders, social misfits, aliens in the SF senseÉ??anyone excluded from society for whatever the reason. WeÉ??d like Not One of Us to consider the problem of É??othernessÉ?ù from every possible fictional angle: horror, SF, fantasy, noir, slipstream, Western, mainstream, whatever. The editorial philosophy of the magazine reflects my own personal taste in genre fiction. To me the scariest and most deeply moving horror stories are not about monsters or about good vs. evil, but rather about the readerÉ??s own fears and discomforts. Similarly, for Not One of Us, fantasy isnÉ??t about pseudo-medieval worlds, science fiction isnÉ??t about space opera or funny-sounding names, Westerns are not about gunfights. In our magazine, itÉ??s all about the characters. We crave characters (human or otherwise) who are different and who act the way they do out of plausible (if occasionally insane) motives. All the wondrous settings and complex plots in the world will fail to convince me if at the center of the tale there isnÉ??t a protagonist with whom I can somehow empathize. I donÉ??t have to like that character: heaven knows weÉ??ve had some pretty nasty protagonists, and empathy is not the same as excuse-making. But I want to get some insight into the character, and vicariously into myself. Also, I like stories, and characters, with edge.",148,"148 Not One of Us is about people (or things) out of place in their surroundings, outsiders, social misfits, aliens in the SF senseÉ??anyone excluded from society for whatever the reason. WeÉ??d like Not One of Us to consider the problem of É??othernessÉ?ù from every possible fictional angle: horror, SF, fantasy, noir, slipstream, Western, mainstream, whatever. The editorial philosophy of the magazine reflects my own personal taste in genre fiction. To me the scariest and most deeply moving horror stories are not about monsters or about good vs. evil, but rather about the readerÉ??s own fears and discomforts. Similarly, for Not One of Us, fantasy isnÉ??t about pseudo-medieval worlds, science fiction isnÉ??t about space opera or funny-sounding names, Westerns are not about gunfights. In our magazine, itÉ??s all about the characters. We crave characters (human or otherwise) who are different and who act the way they do out of plausible (if occasionally insane) motives. All the wondrous settings and complex plots in the world will fail to convince me if at the center of the tale there isnÉ??t a protagonist with whom I can somehow empathize. I donÉ??t have to like that character: heaven knows weÉ??ve had some pretty nasty protagonists, and empathy is not the same as excuse-making. But I want to get some insight into the character, and vicariously into myself. Also, I like stories, and characters, with edge."
Nova,"Novel Novel Novel Fantasy, Science Fiction",Novel,37 days,"Nova will be the home for immersive, thought-provoking science fiction and fantasy novels crafted for older audiences.",149,"149 Nova will be the home for immersive, thought-provoking science fiction and fantasy novels crafted for older audiences."
Nunum's Opolis Anthology,Flash Flash Flash Science Fiction,Flash,6 days,"Note: their pay rate being Non-paying is not a mistake.  Although the layout of their Submittable page with the payment listed at the publisher level may imply that applies to all categories, it has been confirmed with the publisher that this not the case. In the broadest sense of the word, submissions need to be sci-fi focused.",150,"150 Note: their pay rate being Non-paying is not a mistake.  Although the layout of their Submittable page with the payment listed at the publisher level may imply that applies to all categories, it has been confirmed with the publisher that this not the case. In the broadest sense of the word, submissions need to be sci-fi focused."
Nymeria Publishing - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Fantasy, Young Adult, Children, Middle Grade","Flash, Short Story, Novelette, Novella",76 days,"Nymeria Publishing is an independent publisher of unique and creative YA Novels, Fantasy Novels, Children's Books, and Poetry Collections.",151,"151 Nymeria Publishing is an independent publisher of unique and creative YA Novels, Fantasy Novels, Children's Books, and Poetry Collections."
Oddball Magazine,Poetry Poetry Poetry General,Poetry,61 days,"We enjoy work with rhythm, (deep, stylish, emotional, clever, and thought-provoking.) At Oddball you will find spoken-word, slam, haiku, tanka, sestinas, villanelles, classic, academic, experimental, comics, political, graffiti, music, personal essays, recovery stories, reviews,  photography, sculpture, etc. with no judgment, or division.  We strive for inclusivity. (If its art to you, it most likely is art to us.) What weÉ??re looking for; human interest stories, relevant pieces, or work that pertains to mental health and art in any way.",152,"152 We enjoy work with rhythm, (deep, stylish, emotional, clever, and thought-provoking.) At Oddball you will find spoken-word, slam, haiku, tanka, sestinas, villanelles, classic, academic, experimental, comics, political, graffiti, music, personal essays, recovery stories, reviews,  photography, sculpture, etc. with no judgment, or division.  We strive for inclusivity. (If its art to you, it most likely is art to us.) What weÉ??re looking for; human interest stories, relevant pieces, or work that pertains to mental health and art in any way."
Of Rust and Glass - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",43 days,"Limited Demographic:  writers with their roots in the Midwestern United States 
                                                                        No description available.",153,"153 Limited Demographic:  writers with their roots in the Midwestern United States 
                                                                        No description available."
On the Seawall - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",22 days,"We think of On The Seawall as a ?gallery? ? a location in the neighborhood, a place where we display our work for our community, where everyone is welcome to create and to witness the work. We are living in a time of emergency during which our art may act as performances of intervention. Back in 2007, I named this site On The Seawall for a reason ? because there is always an emergency, communal and/or personal, requiring a stay against the flood. If you can?t breathe, then I can?t breathe.",155,"155 We think of On The Seawall as a ?gallery? ? a location in the neighborhood, a place where we display our work for our community, where everyone is welcome to create and to witness the work. We are living in a time of emergency during which our art may act as performances of intervention. Back in 2007, I named this site On The Seawall for a reason ? because there is always an emergency, communal and/or personal, requiring a stay against the flood. If you can?t breathe, then I can?t breathe."
ONE ART,Poetry Poetry Poetry General,Poetry,1 days,"Note: Please wait at least one month between submissions. Note: if your work is published here, wait three months before submitting again. Preference for concise free verse (but will consider formal poems that read in the manner of free verse)",156,"156 Note: Please wait at least one month between submissions. Note: if your work is published here, wait three months before submitting again. Preference for concise free verse (but will consider formal poems that read in the manner of free verse)"
Only Poems - Poetry,"Poetry Poetry Poetry General, Erotica, Fantasy, Science Fiction",Poetry,51 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                We love prose poems, traditional forms (ghazals, villanelles, sestinas), love poems, sex poems, speculative poems, and experimental questionnaires, but we are not married to a style or genre. Send us your most exciting work. We want poems that make us go: É??God, I wish I had written this!É?ù",157,"157 Note: remove identifying information from manuscript for anonymous judging. 
                                                We love prose poems, traditional forms (ghazals, villanelles, sestinas), love poems, sex poems, speculative poems, and experimental questionnaires, but we are not married to a style or genre. Send us your most exciting work. We want poems that make us go: É??God, I wish I had written this!É?ù"
Orbit Works,"Novel Novel Novel Fantasy, Science Fiction",Novel,83 days,Your novel must be science fiction or fantasy.,158,158 Your novel must be science fiction or fantasy.
Orion's Beau - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Horror, Science Fiction","Flash, Short Story",119 days,"Thank you for your interest in submitting work to our gay fantasy arts & literary journal! All types of science fiction, fantasy, paranormal, and dark fantasy are welcome. ?Before submitting to us please keep in mind that we are devoted to gay fantasy. Your work should strongly reflect that. We are interested in work that elevates dreams and fairy tales in the gay community and its supporters. We're looking for original works of magic and fantasy. Even in darkness, hope can exist. We want to be transported to new worlds or fascinating new versions of our own! When considering submitting to us please ensure the work meets the above criteria.",159,"159 Thank you for your interest in submitting work to our gay fantasy arts & literary journal! All types of science fiction, fantasy, paranormal, and dark fantasy are welcome. ?Before submitting to us please keep in mind that we are devoted to gay fantasy. Your work should strongly reflect that. We are interested in work that elevates dreams and fairy tales in the gay community and its supporters. We're looking for original works of magic and fantasy. Even in darkness, hope can exist. We want to be transported to new worlds or fascinating new versions of our own! When considering submitting to us please ensure the work meets the above criteria."
Orion's Beau - Poetry,"Poetry Poetry Poetry Fantasy, Horror, Science Fiction",Poetry,79 days,"Thank you for your interest in submitting work to our gay fantasy arts & literary journal! All types of science fiction, fantasy, paranormal, and dark fantasy are welcome. ?Before submitting to us please keep in mind that we are devoted to gay fantasy. Your work should strongly reflect that. We are interested in work that elevates dreams and fairy tales in the gay community and its supporters. We're looking for original works of magic and fantasy. Even in darkness, hope can exist. We want to be transported to new worlds or fascinating new versions of our own! When considering submitting to us please ensure the work meets the above criteria.",160,"160 Thank you for your interest in submitting work to our gay fantasy arts & literary journal! All types of science fiction, fantasy, paranormal, and dark fantasy are welcome. ?Before submitting to us please keep in mind that we are devoted to gay fantasy. Your work should strongly reflect that. We are interested in work that elevates dreams and fairy tales in the gay community and its supporters. We're looking for original works of magic and fantasy. Even in darkness, hope can exist. We want to be transported to new worlds or fascinating new versions of our own! When considering submitting to us please ensure the work meets the above criteria."
Orion's Belt - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Science Fiction, Literary","Flash, Short Story",13 days,"Note: do not submit more than twice in one month. OrionÉ??s Belt is the home of bold, experimental literary science fiction and fantasy. We want stories that make us think about our place in the universe and our relationships with each other. We want stories that blur the line between É??genreÉ?ù fiction and literary fiction. We want stories that reach toward the stars while never forgetting the people on the ground.",161,"161 Note: do not submit more than twice in one month. OrionÉ??s Belt is the home of bold, experimental literary science fiction and fantasy. We want stories that make us think about our place in the universe and our relationships with each other. We want stories that blur the line between É??genreÉ?ù fiction and literary fiction. We want stories that reach toward the stars while never forgetting the people on the ground."
Orion's Belt - Poetry,"Poetry Poetry Poetry Fantasy, Science Fiction, Literary",Poetry,14 days,"Note: do not submit more than three times in one month. All forms and styles of poetry are welcome. We encourage boundary-pushing, experimental poetry. What we care about is subject matter. Speculative elements must be significant. A non-speculative poem does not become speculative if you just add in a line or two about rockets and outer space. What É??literaryÉ?ù means in the context of poetry is more difficult to define than in prose, but the focus of submissions should be on emotion and experience, not explaining scientific formulas or displaying complex worldbuilding.",162,"162 Note: do not submit more than three times in one month. All forms and styles of poetry are welcome. We encourage boundary-pushing, experimental poetry. What we care about is subject matter. Speculative elements must be significant. A non-speculative poem does not become speculative if you just add in a line or two about rockets and outer space. What É??literaryÉ?ù means in the context of poetry is more difficult to define than in prose, but the focus of submissions should be on emotion and experience, not explaining scientific formulas or displaying complex worldbuilding."
Other anthology series,"Short Story Short Story Short Story Fantasy, Science Fiction, Humor",Short Story,48 days,"We are seeking short stories that are visually evocative (or character/narrative focused) and that leave the reader thinking about the story long after closing the book. We donÉ??t want a lesson, we want an experience that makes us come alive.",163,"163 We are seeking short stories that are visually evocative (or character/narrative focused) and that leave the reader thinking about the story long after closing the book. We donÉ??t want a lesson, we want an experience that makes us come alive."
Overheard Lit - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",147 days,"Note: If you have been published here, please wait six months before submitting new work. Note: If you had a piece rejected here, please wait one month before submitting again. If your prose could be described as weird, surreal, dream-like, experimental, funny, off-kilter, clever, or lyrical, odds are we'll like it.",164,"164 Note: If you have been published here, please wait six months before submitting new work. Note: If you had a piece rejected here, please wait one month before submitting again. If your prose could be described as weird, surreal, dream-like, experimental, funny, off-kilter, clever, or lyrical, odds are we'll like it."
Overland (Print) - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",195 days,"Limited Demographic:  writers living in or working in or around Australia and Aotearoa New Zealand 
                                                                        No description available.",165,"165 Limited Demographic:  writers living in or working in or around Australia and Aotearoa New Zealand 
                                                                        No description available."
Overland (Print) - Poetry,Poetry Poetry Poetry General,Poetry,243 days,"Note: submit no more than three poems per quarter. Overland publishes emerging, politically engaged poets, printing their work alongside more established national and international progressive contemporaries.",167,"167 Note: submit no more than three poems per quarter. Overland publishes emerging, politically engaged poets, printing their work alongside more established national and international progressive contemporaries."
Pacifica Literary Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",41 days,"Professors and baristas will receive equal consideration. Sonnets and memes will receive equal consideration. If it is excellent and gives us the feels, weÉ??ll print it.",168,"168 Professors and baristas will receive equal consideration. Sonnets and memes will receive equal consideration. If it is excellent and gives us the feels, weÉ??ll print it."
Pacifica Literary Review - Poetry,Poetry Poetry Poetry General,Poetry,4 days,"Professors and baristas will receive equal consideration. Sonnets and memes will receive equal consideration. If it is excellent and gives us the feels, weÉ??ll print it.",169,"169 Professors and baristas will receive equal consideration. Sonnets and memes will receive equal consideration. If it is excellent and gives us the feels, weÉ??ll print it."
Palette Poetry,Poetry Poetry Poetry General,Poetry,60 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: wait a year after publication to submit again. We have no particular aesthetic vision or mission. Our goal is to simply find and publish the best poetry we can, no matter its roots in craft.",170,"170 Note: remove identifying information from manuscript for anonymous judging. 
 Note: wait a year after publication to submit again. We have no particular aesthetic vision or mission. Our goal is to simply find and publish the best poetry we can, no matter its roots in craft."
Palooka - Fiction,"Flash, Short Story, Novelette Flash, Short Story, Novelette Flash, Short Story, Novelette General","Flash, Short Story, Novelette",58 days,"We're open to all voices, forms, and styles.",171,"171 We're open to all voices, forms, and styles."
Palooka Press - Fiction,"Short Story, Novelette, Novella Short Story, Novelette, Novella Short Story, Novelette, Novella General","Short Story, Novelette, Novella",93 days,We consider manuscripts of all styles and genres and aren't looking for a particular aesthetic. We're willing to give anything a fair chance.,172,172 We consider manuscripts of all styles and genres and aren't looking for a particular aesthetic. We're willing to give anything a fair chance.
Panoply - Poetry,Poetry Poetry Poetry General,Poetry,32 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: if your work appears in two consecutive issues, don't submit for the following issue. No description available.",173,"173 Note: remove identifying information from manuscript for anonymous judging. 
 Note: if your work appears in two consecutive issues, don't submit for the following issue. No description available."
Paragraph Planet,Flash Flash Flash General,Flash,4 days,"Your submission can be a short story, an extract from a novel or the capturing of a moment. The main rule is that it needs to be EXACTLY 75 words long including the title. (All submissions are formatted as one paragraph - see the home page - so it helps if you submit that way.)",174,"174 Your submission can be a short story, an extract from a novel or the capturing of a moment. The main rule is that it needs to be EXACTLY 75 words long including the title. (All submissions are formatted as one paragraph - see the home page - so it helps if you submit that way.)"
Paranoid Tree Press - Fiction,Flash Flash Flash General,Flash,65 days,Note: wait two years after being published here to submit again. No description available.,175,175 Note: wait two years after being published here to submit again. No description available.
Paranoid Tree Press - Poetry,Poetry Poetry Poetry General,Poetry,77 days,Note: wait two years after being published here to submit again. prose (not verse) poetry,177,177 Note: wait two years after being published here to submit again. prose (not verse) poetry
Passengers Journal - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,61 days,"We like the strange and unusual (topics too taboo for other publications, hard topics, etc.). However, we of course consider pieces on overall craftsmanship. We encourage risk-taking only if itÉ??s done well. This applies to style, format, and the use of peculiar language or setup. Sending an erasure poem for the sake of sending an É??off-beatÉ?ù format only interests us when the white space actually helps the poem. Surprise us! Scare us! Make us weep! Send us work that will speak on and off the page. We arenÉ??t easily defeated by hard topics such as horror, gore, and crime, as long as the poem is not entirely promoting violence.",178,"178 We like the strange and unusual (topics too taboo for other publications, hard topics, etc.). However, we of course consider pieces on overall craftsmanship. We encourage risk-taking only if itÉ??s done well. This applies to style, format, and the use of peculiar language or setup. Sending an erasure poem for the sake of sending an É??off-beatÉ?ù format only interests us when the white space actually helps the poem. Surprise us! Scare us! Make us weep! Send us work that will speak on and off the page. We arenÉ??t easily defeated by hard topics such as horror, gore, and crime, as long as the poem is not entirely promoting violence."
Patterson Quill Publishing,"Novel Novel Novel General, Fantasy, Horror, Romance, Science Fiction",Novel,54 days,"We are currently accepting submissions in the following genres: Fiction Horror Romance Fantasy Sci-Fi We are particularly interested in stories with strong characters, unique worlds, and compelling narratives. Whether youÉ??re a debut author or an experienced writer, weÉ??d love to hear from you!",179,"179 We are currently accepting submissions in the following genres: Fiction Horror Romance Fantasy Sci-Fi We are particularly interested in stories with strong characters, unique worlds, and compelling narratives. Whether youÉ??re a debut author or an experienced writer, weÉ??d love to hear from you!"
Peatsmoke Journal - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Fantasy, Science Fiction","Flash, Short Story",20 days,"What is important to us is that you are sending us writing that feels urgent and necessary, work that is ready to go out for a stroll in the world. WeÉ??re into fiction that explores the human condition with empathy and curiosity. We love reading fully realized characters who are pushed and challenged, and clear, carefully-crafted sentences that bring them to life. Speculative, experimental, and flash fiction are absolutely welcome here.",180,"180 What is important to us is that you are sending us writing that feels urgent and necessary, work that is ready to go out for a stroll in the world. WeÉ??re into fiction that explores the human condition with empathy and curiosity. We love reading fully realized characters who are pushed and challenged, and clear, carefully-crafted sentences that bring them to life. Speculative, experimental, and flash fiction are absolutely welcome here."
Peatsmoke Journal - Poetry,Poetry Poetry Poetry General,Poetry,63 days,"What is important to us is that you are sending us writing that feels urgent and necessary, work that is ready to go out for a stroll in the world. Nothing excites us more than a stellar combination of image and sound. WeÉ??re interested in how the two collide and inform each other and the work theyÉ??re doing. Images that have energy are the best images. Sound and form that follows content are the best sounds and forms. We want to be able to understand whatÉ??s going on in your poem by the weight and lilt of it in our mouths.",181,"181 What is important to us is that you are sending us writing that feels urgent and necessary, work that is ready to go out for a stroll in the world. Nothing excites us more than a stellar combination of image and sound. WeÉ??re interested in how the two collide and inform each other and the work theyÉ??re doing. Images that have energy are the best images. Sound and form that follows content are the best sounds and forms. We want to be able to understand whatÉ??s going on in your poem by the weight and lilt of it in our mouths."
Penumbra: A Journal of Weird Fiction and Criticism - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Fantasy, Horror, Science Fiction","Flash, Short Story, Novelette, Novella",17 days,About 75% of its content will consist of articles (scholarly or otherwise) on all aspects of weird fiction; the other 25% will be original fiction.,182,182 About 75% of its content will consist of articles (scholarly or otherwise) on all aspects of weird fiction; the other 25% will be original fiction.
Penumbric Speculative Fiction Magazine - Fiction,"Flash, Short Story, Novelette Flash, Short Story, Novelette Flash, Short Story, Novelette Fantasy, Horror, Science Fiction","Flash, Short Story, Novelette",27 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per three-month submission period. In terms of genre, I am looking for work that constitutes the ever-moving edge of its kind, as a place between light and dark, consciousness and un, today and tomorrow; work exhibiting the strange, the bizarre, that which is not of the world we know, but more of a twilight realm or even altogether alien place. Not necessarily science fiction, not necessarily fantasy, not necessarily horror, and not necessarily not these things. In short, ideally edgy. Maybe even idealistically edgy.",183,"183 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per three-month submission period. In terms of genre, I am looking for work that constitutes the ever-moving edge of its kind, as a place between light and dark, consciousness and un, today and tomorrow; work exhibiting the strange, the bizarre, that which is not of the world we know, but more of a twilight realm or even altogether alien place. Not necessarily science fiction, not necessarily fantasy, not necessarily horror, and not necessarily not these things. In short, ideally edgy. Maybe even idealistically edgy."
Penumbric Speculative Fiction Magazine - Poetry,"Poetry Poetry Poetry Fantasy, Horror, Science Fiction",Poetry,29 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per three-month submission period. In terms of genre, I am looking for work that constitutes the ever-moving edge of its kind, as a place between light and dark, consciousness and un, today and tomorrow; work exhibiting the strange, the bizarre, that which is not of the world we know, but more of a twilight realm or even altogether alien place. Not necessarily science fiction, not necessarily fantasy, not necessarily horror, and not necessarily not these things. In short, ideally edgy. Maybe even idealistically edgy.",184,"184 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per three-month submission period. In terms of genre, I am looking for work that constitutes the ever-moving edge of its kind, as a place between light and dark, consciousness and un, today and tomorrow; work exhibiting the strange, the bizarre, that which is not of the world we know, but more of a twilight realm or even altogether alien place. Not necessarily science fiction, not necessarily fantasy, not necessarily horror, and not necessarily not these things. In short, ideally edgy. Maybe even idealistically edgy."
petrichor,Poetry Poetry Poetry General,Poetry,292 days,"Note: one submission per submission period. A journal of text & image, petrichor publishes your double mesostics, collage clips, double/triple haibun, asemic cryptolectics, glitching phrases, semiotic pictographs, or just something new. Old school remixes for the digital age will not go unspun. GIFpoetics & code tomes welcome, too. We welcome underrepresented voices and unheard approaches to poetics and the melding of text & image. And lately? WeÉ??re feeling angry. If you arenÉ??t seeing you out there, send yourself here.",185,"185 Note: one submission per submission period. A journal of text & image, petrichor publishes your double mesostics, collage clips, double/triple haibun, asemic cryptolectics, glitching phrases, semiotic pictographs, or just something new. Old school remixes for the digital age will not go unspun. GIFpoetics & code tomes welcome, too. We welcome underrepresented voices and unheard approaches to poetics and the melding of text & image. And lately? WeÉ??re feeling angry. If you arenÉ??t seeing you out there, send yourself here."
Phano - Fiction,"Short Story Short Story Short Story Science Fiction, Literary",Short Story,15 days,"We enjoy short stories thatÉ?? ?   provoke a sense of wonder ?   touch an emotional core ?   sit with us long after reading ?   invite us to play with big ideas ?   center on well-developed characters ?   take tasteful, calculated risks ?   speculate eloquently about the future ?   are literary and/or science fictional",186,"186 We enjoy short stories thatÉ?? ?   provoke a sense of wonder ?   touch an emotional core ?   sit with us long after reading ?   invite us to play with big ideas ?   center on well-developed characters ?   take tasteful, calculated risks ?   speculate eloquently about the future ?   are literary and/or science fictional"
Philadelphia Stories - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",94 days,"Limited Demographic:  authors living in, or originally from, Pennsylvania, Delaware, or New Jersey 
                                                                        sharp writing, carefully crafted plots, and, above all, compelling characters",188,"188 Limited Demographic:  authors living in, or originally from, Pennsylvania, Delaware, or New Jersey 
                                                                        sharp writing, carefully crafted plots, and, above all, compelling characters"
Phoenix Moirai,"Novelette, Novella Novelette, Novella Novelette, Novella General","Novelette, Novella",95 days,"Though our focus is genre mutts (whatever your heart desires), we accept all genres in all age groups.",189,"189 Though our focus is genre mutts (whatever your heart desires), we accept all genres in all age groups."
