row_number,market_name,genres,response_time,url of thumbnail,acceptance rate,followers,founded,country,description,submission_guidelines,tagged_description
25,The Belladonna,Hybrid,12 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fb83b000e-1b63-4e95-a2ba-c0dd748325f8.png&w=256&q=75,54.55%,"10,000",2017,United States,"The Belladonna is a comedy and satire site by women and other marginalized genders, for everyone. We accept submissions on an ongoing basis ? please read our submission guidelines here! We provide feedback to all pieces we do not accept, as a core part of our mission to nurture and support writers at all stages of their career.",https://thebelladonnacomedy.com/the-belladonna-submission-guidelines-21f36132f825,"25The Belladonna is a comedy and satire site by women and other marginalized genders, for everyone. We accept submissions on an ongoing basis ? please read our submission guidelines here! We provide feedback to all pieces we do not accept, as a core part of our mission to nurture and support writers at all stages of their career."
26,Messy misfits club,"Fiction, Nonfiction, Poetry, Hybrid, Multimedia",31 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F840bbfd0-d40c-441f-833c-dc95fd06979b.png&w=256&q=75,54.55%,"2,000",2021,United States,"Messy Misfits Club zine is looking for stories with out of bounds content? We want to be raw, rebellious and let our voices be heard. The Messy Misfits are meant to be downright dirty!Messy Misfits Club wants you to meet the team behind the zine. Flower and Emma are both creative powerhouses dedicating their abilities to uplifting the voices of marginalized and typically censored groups. Flower chooses to remain anonymous at this time, but is a major part of our team and deserves just as much recognition for her effort and passion toward this zine! Baby & Helen all joined the team later on in hopes to continue improving the zine and the message behind it.",https://messymisfitsclub.wixsite.com/zine/submissions,"26Messy Misfits Club zine is looking for stories with out of bounds content? We want to be raw, rebellious and let our voices be heard. The Messy Misfits are meant to be downright dirty!Messy Misfits Club wants you to meet the team behind the zine. Flower and Emma are both creative powerhouses dedicating their abilities to uplifting the voices of marginalized and typically censored groups. Flower chooses to remain anonymous at this time, but is a major part of our team and deserves just as much recognition for her effort and passion toward this zine! Baby & Helen all joined the team later on in hopes to continue improving the zine and the message behind it."
27,South Carolina Review,"Fiction, Nonfiction, Poetry,",144 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F39a7300b-e714-4153-a041-54a5aa13123b.png&w=256&q=75,3.45%,"100,000",1968,United States,"The South Carolina Review is reimagining the Southern Literary Magazine, continuing in the spirit of literary innovation found in the works of writers such as O?Connor, Faulkner, Hurston, Welty, Walker, Dickey, and Ellison while expanding our gaze and range to encompass the best of contemporary literature from a variety of perspectives. We attempt to reflect the diverse experience of our readers and contributors by publishing affecting, thought-provoking work from both new and established writers from a wide background.Founded in 1968 at Furman University, The South Carolina Review is now housed at Clemson University, where it has been since 1973. It has published notable works by authors such as Joyce Carol Oates, Kurt Vonnegut, Elizabeth Strout, and Ron Rash. In celebration of our 50th anniversary, we are adopting an all new look and style, one that suggests our new vision while retaining a classic feel, past and future converging in the present.",https://www.clemson.edu/cah/sites/south-carolina-review/contact-us/,"27The South Carolina Review is reimagining the Southern Literary Magazine, continuing in the spirit of literary innovation found in the works of writers such as O?Connor, Faulkner, Hurston, Welty, Walker, Dickey, and Ellison while expanding our gaze and range to encompass the best of contemporary literature from a variety of perspectives. We attempt to reflect the diverse experience of our readers and contributors by publishing affecting, thought-provoking work from both new and established writers from a wide background.Founded in 1968 at Furman University, The South Carolina Review is now housed at Clemson University, where it has been since 1973. It has published notable works by authors such as Joyce Carol Oates, Kurt Vonnegut, Elizabeth Strout, and Ron Rash. In celebration of our 50th anniversary, we are adopting an all new look and style, one that suggests our new vision while retaining a classic feel, past and future converging in the present."
28,Beloit Poetry Journal,Poetry,264 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F94dc6be3-673c-46c7-b9ec-5f60af3141a9.png&w=256&q=75,2.29%,"9,000",1950,United States,"Mission 
Our longstanding mission is to seek out and share work of fresh and lasting power, poems that speak startling, complicated, necessary truths and that do so in surprising and beautiful ways. Since 1950, the BPJ has cleaved to a set of editorial practices that enable discovery of vibrant new voices and that foster long-lasting relationships with some of the most gifted, important poets of the twentieth and twenty-first centuries. 
Our aim is to offer work that pushes boundaries of content, aesthetic, and form?to showcase what?s becoming of contemporary poetry?and we do so the old fashioned way. Senior staff read each submission thoroughly and openheartedly; when a poem moves, informs, and inspires us, we forward it to the entire editorial board, a group of about a half dozen skilled volunteer readers. These readers weigh in, and what continues to engage the group comes with us to the next biannual editorial board meeting.At these three-day sessions, we bunk in together, take our meals together, read poems aloud, and discuss their merits until we?ve selected an issue from among the most finely wrought, revelatory, and world-aware poems in the set. This process forces us to read with the closest possible attention, to articulate our appetites and judgments clearly and convincingly, and to take the kinds of risks a single editor might wind up talking herself out of.As a result, we?re known for publishing long poems other journals won?t make space for. We?re known for publishing formally challenging poems, for printing the brutally honest and the unparaphrasable alongside the wryly funny, and lyrics that ring clear as bells. As a staff, we?re convinced there?s no other method by which the BPJ could remain so urgent, so eclectic, and so bold. Whatever other changes we embrace, we?re steadfastly committed to the editorial practice that has proven itself with issue after issue for over 70 years.",https://www.bpj.org/submit/regular-guidelines,"28Mission
Our longstanding mission is to seek out and share work of fresh and lasting power, poems that speak startling, complicated, necessary truths and that do so in surprising and beautiful ways. Since 1950, the BPJ has cleaved to a set of editorial practices that enable discovery of vibrant new voices and that foster long-lasting relationships with some of the most gifted, important poets of the twentieth and twenty-first centuries.
Our aim is to offer work that pushes boundaries of content, aesthetic, and form?to showcase what?s becoming of contemporary poetry?and we do so the old fashioned way. Senior staff read each submission thoroughly and openheartedly; when a poem moves, informs, and inspires us, we forward it to the entire editorial board, a group of about a half dozen skilled volunteer readers. These readers weigh in, and what continues to engage the group comes with us to the next biannual editorial board meeting.At these three-day sessions, we bunk in together, take our meals together, read poems aloud, and discuss their merits until we?ve selected an issue from among the most finely wrought, revelatory, and world-aware poems in the set. This process forces us to read with the closest possible attention, to articulate our appetites and judgments clearly and convincingly, and to take the kinds of risks a single editor might wind up talking herself out of.As a result, we?re known for publishing long poems other journals won?t make space for. We?re known for publishing formally challenging poems, for printing the brutally honest and the unparaphrasable alongside the wryly funny, and lyrics that ring clear as bells. As a staff, we?re convinced there?s no other method by which the BPJ could remain so urgent, so eclectic, and so bold. Whatever other changes we embrace, we?re steadfastly committed to the editorial practice that has proven itself with issue after issue for over 70 years."
29,Snowflake Magazine,"Nonfiction, Hybrid, Multimedia, Fiction, Poetry",40 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F3b442c1b-b4ce-4b7b-87a3-22fd13e760c7.jpeg&w=256&q=75,80.00%,"2,000",2021,United Kingdom,"Snowflake magazine is looking for submissions of art, poetry, essays, flash fiction, photography, interviews and articles from self-identifying queer creators. We are happy to consider pieces that transcend or do not fit these mediums. Being queer already often sits outside the norm, so we encourage your pieces to do the same - really think outside the box!The submission itself should either be queer themed or from an artist who identifies as LGBTQ+ (or both!).",https://www.snowflakeculture.com/submit,"29Snowflake magazine is looking for submissions of art, poetry, essays, flash fiction, photography, interviews and articles from self-identifying queer creators. We are happy to consider pieces that transcend or do not fit these mediums. Being queer already often sits outside the norm, so we encourage your pieces to do the same - really think outside the box!The submission itself should either be queer themed or from an artist who identifies as LGBTQ+ (or both!)."
30,Humana Obscura,"Poetry, Multimedia, Fiction",58 days,https://cdn.duotrope.com/covers/31086-2506060404265.png,15.58%,"4,000",2020,United States,"Humana Obscura is an independent literary magazine that seeks to publish nature-focused poetry, prose, and art by new, emerging, and established writers and artists from around the world. As our name suggests??obscured human??we focus on work where the human element is concealed but not entirely absent, aiming to revive the nature genre. Humana Obscura?s mission is to publish and promote the best work of today?s voices and talents. Our intention is to inspire readers and enrich their lives while providing an inclusive space for elevating the voices, expressions, and creative work of our contributors. Surprise us, delight us. Haunt us. Make us keep thinking about your piece long after we?ve read it or viewed it.",https://www.humanaobscura.com/submit,"30Humana Obscura is an independent literary magazine that seeks to publish nature-focused poetry, prose, and art by new, emerging, and established writers and artists from around the world. As our name suggests??obscured human??we focus on work where the human element is concealed but not entirely absent, aiming to revive the nature genre. Humana Obscura?s mission is to publish and promote the best work of today?s voices and talents. Our intention is to inspire readers and enrich their lives while providing an inclusive space for elevating the voices, expressions, and creative work of our contributors. Surprise us, delight us. Haunt us. Make us keep thinking about your piece long after we?ve read it or viewed it."
31,AMLY,"Fiction, Nonfiction, Poetry, Multimedia",40 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F03593750-359e-45fc-b736-d8bedb4645ef.png&w=256&q=75,6.09%,"15,000",2010,United States,"ANMLY is committed to actively seeking out and promoting the work of marginalized and underrepresented artists, including especially people of color, women, queer, disabled, neurodivergent, and gender nonconforming artists. ANMLY is committed to encouraging experimentation in the arts. ANMLY believes in the importance of compensating artists for their work, and we are working toward financial sustainability. ANMLY focuses on especially innovative and experimental literature and arts. ANMLY is run by an entirely volunteer staff, dedicated to literature and art and the internet (well, more like literature and the art on the internet, but we?re fans of the medium, too).",https://anmly.org/calls/,"31ANMLY is committed to actively seeking out and promoting the work of marginalized and underrepresented artists, including especially people of color, women, queer, disabled, neurodivergent, and gender nonconforming artists. ANMLY is committed to encouraging experimentation in the arts. ANMLY believes in the importance of compensating artists for their work, and we are working toward financial sustainability. ANMLY focuses on especially innovative and experimental literature and arts. ANMLY is run by an entirely volunteer staff, dedicated to literature and art and the internet (well, more like literature and the art on the internet, but we?re fans of the medium, too)."
32,Granta,"Fiction, Nonfiction, Poetry",77 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F75065354-7ffa-4a12-90a8-551b9ae477a6.png&w=256&q=75,0%,"300,000",1889,United Kingdom,"The magazine was founded in 1889 by students at Cambridge University as The Granta, a periodical of student politics, badinage and literary enterprise, named after the river that runs through the town. In this original incarnation it published the work of writers like A.A. Milne, Michael Frayn, Stevie Smith, Ted Hughes and Sylvia Plath. In 1979, Bill Buford and Pete de Bolla transformed Granta from a student publication to the literary quarterly it remains today. Each themed issue of Granta turns the attention of the world?s best writers on to one aspect of the way we live now. Granta is most celebrated for its ?Best of Young? issues, which introduce the most important voices of each generation ? in Britain, America, Brazil and Spain ? defining the contours of the literary landscape. Granta has published twenty-seven Nobel Prize laureates.",https://granta.com/submissions/,"32The magazine was founded in 1889 by students at Cambridge University as The Granta, a periodical of student politics, badinage and literary enterprise, named after the river that runs through the town. In this original incarnation it published the work of writers like A.A. Milne, Michael Frayn, Stevie Smith, Ted Hughes and Sylvia Plath. In 1979, Bill Buford and Pete de Bolla transformed Granta from a student publication to the literary quarterly it remains today. Each themed issue of Granta turns the attention of the world?s best writers on to one aspect of the way we live now. Granta is most celebrated for its ?Best of Young? issues, which introduce the most important voices of each generation ? in Britain, America, Brazil and Spain ? defining the contours of the literary landscape. Granta has published twenty-seven Nobel Prize laureates."
33,Hayden's Ferry Review,"Fiction, Nonfiction, Poetry, Multimedia, Hybrid",134 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F3aac74de-aa50-4051-becb-cc315ee33309.png&w=256&q=75,2.60%,"25,000",1986,United States,"Founded in 1986, Hayden?s Ferry Review is a semi-annual, international literary journal edited by the MFA students at Arizona State University. Work from Hayden?s Ferry Review has been included in the Pushcart Prize Anthology, Best American Poetry, and Best New Poets. HFR has notable pieces in Best American Short Stories, Best American Essays, Best American Mystery Stories, and the Pushcart Prize Anthology. To find out more about anthologies that have included pieces from Hayden?s Ferry Review, please view our complete list. Hayden?s Ferry Review looks for well-crafted work that takes risks, challenges readers, and engages us emotionally and artistically. A small portion of our publication is solicited from established authors, while the majority of our contributors are chosen from the thousands of manuscripts we receive each year.",https://haydensferryreview.com/submit,"33Founded in 1986, Hayden?s Ferry Review is a semi-annual, international literary journal edited by the MFA students at Arizona State University. Work from Hayden?s Ferry Review has been included in the Pushcart Prize Anthology, Best American Poetry, and Best New Poets. HFR has notable pieces in Best American Short Stories, Best American Essays, Best American Mystery Stories, and the Pushcart Prize Anthology. To find out more about anthologies that have included pieces from Hayden?s Ferry Review, please view our complete list. Hayden?s Ferry Review looks for well-crafted work that takes risks, challenges readers, and engages us emotionally and artistically. A small portion of our publication is solicited from established authors, while the majority of our contributors are chosen from the thousands of manuscripts we receive each year."
34,Friends Journal,"Nonfiction, Poetry",26 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fec57a00d-e10b-4a74-9ea5-4a91b6870846.png&w=256&q=75,50.00%,"15,000",1955,United States,"Friends Publishing Corporation was founded in 1955 ?for the purpose of promoting religious concerns of the Religious Society of Friends and the education and information of its members and others by means of the written or spoken word, including the publication of a magazine or magazines, pamphlets or other writings.? Friends Journal, the major publication of Friends Publishing Corporation, is the consolidation of two previous Quaker publications and corporations, Friends Intelligencer (Hicksite) and The Friend (Orthodox), at the time of reunification of the two yearly meetings in Philadelphia.",https://www.friendsjournal.org/submissions/,"34Friends Publishing Corporation was founded in 1955 ?for the purpose of promoting religious concerns of the Religious Society of Friends and the education and information of its members and others by means of the written or spoken word, including the publication of a magazine or magazines, pamphlets or other writings.? Friends Journal, the major publication of Friends Publishing Corporation, is the consolidation of two previous Quaker publications and corporations, Friends Intelligencer (Hicksite) and The Friend (Orthodox), at the time of reunification of the two yearly meetings in Philadelphia."
35,Boston Review,Nonfiction,110 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F8268475e-e1e2-46f2-a30f-413f1dd8d3cf.png&w=256&q=75,1.64%,"50,000",1975,United States,"Boston Review is a political and literary forum?a public space for discussion of ideas and culture. Independent and nonprofit, animated by hope and committed to equality, we believe in the power of collective reasoning and imagination to create a more just world. To that end, we reject the easy dispensation of predictable writing to people with whom we already agree. Instead we put a range of voices and views in dialogue on the web (always for free, with no ads or paywalls), in print (four times a year), and at public events (not just in Boston)?fostering the open and engaged exchange of ideas essential to a flourishing democracy. Convinced that the imagination breaks free from neat political categories, we cultivate a public sphere that models pluralism of thought?by loosening the hold of convention, forswearing glibness and groupthink, putting poetry alongside politics, and subjecting arguments to the constructive scrutiny of a diverse and discerning public.",https://bostonreview.submittable.com/submit#twitter,"35Boston Review is a political and literary forum?a public space for discussion of ideas and culture. Independent and nonprofit, animated by hope and committed to equality, we believe in the power of collective reasoning and imagination to create a more just world. To that end, we reject the easy dispensation of predictable writing to people with whom we already agree. Instead we put a range of voices and views in dialogue on the web (always for free, with no ads or paywalls), in print (four times a year), and at public events (not just in Boston)?fostering the open and engaged exchange of ideas essential to a flourishing democracy. Convinced that the imagination breaks free from neat political categories, we cultivate a public sphere that models pluralism of thought?by loosening the hold of convention, forswearing glibness and groupthink, putting poetry alongside politics, and subjecting arguments to the constructive scrutiny of a diverse and discerning public."
36,Apex Magazine,Fiction,34 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fa101a63a-4b64-4df2-a88c-c0f624f93f05.jpeg&w=256&q=75,0.81%,"35,000",2005,United States,"Apex Magazine is an online zine of fantastical fiction. We publish short stories filled with marrow and passion, works that are twisted, strange, and beautiful. Creations where secret places and dreams are put on display. We publish in two forms: an every-other-month eBook issue and a gradual release of an entire issue online over a two month period. Along with the genre short fiction, there are interviews with authors and nonfiction essays about current issues. Additionally, we produce a monthly podcast of narrated original short fiction.",https://www.apexbookcompany.com/a/blog/apex-magazine/post/apex-magazine-submissions-guidelines,"36Apex Magazine is an online zine of fantastical fiction. We publish short stories filled with marrow and passion, works that are twisted, strange, and beautiful. Creations where secret places and dreams are put on display. We publish in two forms: an every-other-month eBook issue and a gradual release of an entire issue online over a two month period. Along with the genre short fiction, there are interviews with authors and nonfiction essays about current issues. Additionally, we produce a monthly podcast of narrated original short fiction."
37,Pseudopod,Fiction,58 days,https://cdn.duotrope.com/covers/1276-2503032214498.png,2.65%,"6,000",2006,united States,"For over a decade, PseudoPod has been bringing you the best short horror in audio form, to take with you anywhere. We pay our authors professional rates for original fiction and we reach more people every week than any other short fiction horror market. PseudoPod is a genre magazine in audio form. We?re looking for horror: dark, weird fiction. We run the spectrum from grim realism or crime drama, to magic-realism, to blatantly supernatural dark fantasy. We publish highly literary stories reminiscent of Poe or Lovecraft as well as vulgar shock-value pulp fiction. We don?t split hairs about genre definitions, and we do not observe any taboos about what kind of content can appear in our stories. Originality demands that you?re better off avoiding vampires, zombies, and other recognizable horror tropes unless you have put a very unique spin on them. What matters most is that the stories are dark and compelling.",https://pseudopod.org/submissions/,"37For over a decade, PseudoPod has been bringing you the best short horror in audio form, to take with you anywhere. We pay our authors professional rates for original fiction and we reach more people every week than any other short fiction horror market. PseudoPod is a genre magazine in audio form. We?re looking for horror: dark, weird fiction. We run the spectrum from grim realism or crime drama, to magic-realism, to blatantly supernatural dark fantasy. We publish highly literary stories reminiscent of Poe or Lovecraft as well as vulgar shock-value pulp fiction. We don?t split hairs about genre definitions, and we do not observe any taboos about what kind of content can appear in our stories. Originality demands that you?re better off avoiding vampires, zombies, and other recognizable horror tropes unless you have put a very unique spin on them. What matters most is that the stories are dark and compelling."
38,The Bitchin? Kitsch,"Fiction, Nonfiction, Multimedia, Poetry",15 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fe60bee74-8a4f-4526-b7f5-295246713360.png&w=256&q=75,40.54%,100,2010,United States,"The B?K is a quarterly art and lit, online and printed magazine prioritizing traditionally marginalized creators, but open to all.",https://www.talbot-heindl.com/bitchin_kitsch/submissions,"38The B?K is a quarterly art and lit, online and printed magazine prioritizing traditionally marginalized creators, but open to all."
39,The Ex-Puritan,"Fiction, Nonfiction, Poetry",106 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F8f622615-aae2-48d5-b9d2-def993eac284.png&w=256&q=75,1.48%,"10,000",2007,Canada,"For many years, The Puritan represented both a legacy of literary excellence, and (notably in its early days), a culture that reinforced the exclusionary and marginalizing aspects of CanLit. As we transition to becoming The Ex-Puritan, the ?Ex? in our name represents an interrogation of this complex history and reminds the writer/reader that the ?story? of our publication is yet-to-be-written. Our story is collective, collaborative, never static, and always up for responsive, experimental and community-accountable change. Our emphasis on accessibility, as well as diversity and experimentation, means that the overall ""voice"" of The Ex-Puritan is never monotonous or predictable. It is and continues to be defined by the work it publishes.",https://ex-puritan.ca/submissions,"39For many years, The Puritan represented both a legacy of literary excellence, and (notably in its early days), a culture that reinforced the exclusionary and marginalizing aspects of CanLit. As we transition to becoming The Ex-Puritan, the ?Ex? in our name represents an interrogation of this complex history and reminds the writer/reader that the ?story? of our publication is yet-to-be-written. Our story is collective, collaborative, never static, and always up for responsive, experimental and community-accountable change. Our emphasis on accessibility, as well as diversity and experimentation, means that the overall ""voice"" of The Ex-Puritan is never monotonous or predictable. It is and continues to be defined by the work it publishes."
40,The good life review,"Fiction, Nonfiction, Poetry, Multimedia",86 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Ffca54f06-1b60-413c-9d62-f21366c0cb54.png&w=256&q=75,6.58%,"15,000",2020,United States,"The Good Life Review is an independently operated, nonprofit literary journal co-founded by Shyla Shehan and a cohort of graduates of the MFA in Writing program at the University of Nebraska. In the spring of 2020, our group of writers, editors, and designers came together to craft a space intended to shine a light on the diversity in the Midwest. Now 30 members strong, the central focus of our mission remains rooted in a desire to foster a positive and inclusive literary community and help writers connect with a wider audience.",https://thegoodlifereview.com/submissions/,"40The Good Life Review is an independently operated, nonprofit literary journal co-founded by Shyla Shehan and a cohort of graduates of the MFA in Writing program at the University of Nebraska. In the spring of 2020, our group of writers, editors, and designers came together to craft a space intended to shine a light on the diversity in the Midwest. Now 30 members strong, the central focus of our mission remains rooted in a desire to foster a positive and inclusive literary community and help writers connect with a wider audience."
41,Umbrella factory Magazine,"Fiction, Nonfiction, Poetry, multimedia",56 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2F425fe5b2-0ffe-4b23-871b-5403dd5b31a2.png&w=256&q=75,37.50%,500,2010,United States,"Umbrella Factory Magazine is a small press and literary journal dedicated to connecting thoughtful readers with intelligent writers and poets. The magazine publishes fiction, poetry, nonfiction, and art, and is available both digitally and in print. It operates with a commitment to supporting writers and artists by allowing them to retain all rights to their work",https://umbrellafactorymagazine.com/submit/,"41Umbrella Factory Magazine is a small press and literary journal dedicated to connecting thoughtful readers with intelligent writers and poets. The magazine publishes fiction, poetry, nonfiction, and art, and is available both digitally and in print. It operates with a commitment to supporting writers and artists by allowing them to retain all rights to their work"
42,Torch Literary Arts: Friday Features,,67 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fbd17a12e-9dcf-42eb-bb73-0441332b4700.png&w=256&q=75,33.33%,"8,000",2022,United States,"Torch Literary Arts started as a passion project in August of 2006 by Amanda Johnston to foster a supportive community of Black women writers, emerging and experienced. Fueled by wisdom and writings from other poets, novelists, and screenwriters, the award-winning Torch Magazine emerged to amplify Black women?s voices. After the pandemic, Amanda and Torch?s board of directors realized how critical Black women?s stories are for those facing isolation, grief, and creative rebirth. After much consideration and support, Torch Literary Arts registered as a 501(c)3 nonprofit to sustain the organization and increase impact through exceptional programs that shine a light on Black women writers.",https://torchliteraryarts.submittable.com/submit/211487/torch-friday-feature,"42Torch Literary Arts started as a passion project in August of 2006 by Amanda Johnston to foster a supportive community of Black women writers, emerging and experienced. Fueled by wisdom and writings from other poets, novelists, and screenwriters, the award-winning Torch Magazine emerged to amplify Black women?s voices. After the pandemic, Amanda and Torch?s board of directors realized how critical Black women?s stories are for those facing isolation, grief, and creative rebirth. After much consideration and support, Torch Literary Arts registered as a 501(c)3 nonprofit to sustain the organization and increase impact through exceptional programs that shine a light on Black women writers."
43,Toronto Journal,"Fiction, Nonfiction",76 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Ffb959923-9413-488b-921f-d4a7fc141cac.jpeg&w=256&q=75,3.58%,200,2022,Canada,"Toronto Journal is a writing journal in print and sound. We publish two issues per year in the summer and the winter. WHY DOES THIS JOURNAL EXIST? Toronto Journal has two foundational goals: to dig up local history, and to publish great fiction. Each issue is book-ended by two historical pieces: we open with a non-fiction piece about some forgotten slice of local history from Toronto, the GTA, or surrounding areas, and close with an old piece of local writing from the city?s past. In between you?ll find several pieces of great fiction from anywhere in the world. As readers and writers ourselves, we read and re-read submissions in order to bring you something good. HOW IS IT DIFFERENT FROM OTHER JOURNALS? Two key things set us apart: anonymous submissions and the ?sound? bit. We are firm believers that writing should speak for itself. Once a story is written, it exists outside of the author. Yet the typical literary journal submission process requires a cover letter and an over",https://torontojournal.com/submit/,"43Toronto Journal is a writing journal in print and sound. We publish two issues per year in the summer and the winter. WHY DOES THIS JOURNAL EXIST? Toronto Journal has two foundational goals: to dig up local history, and to publish great fiction. Each issue is book-ended by two historical pieces: we open with a non-fiction piece about some forgotten slice of local history from Toronto, the GTA, or surrounding areas, and close with an old piece of local writing from the city?s past. In between you?ll find several pieces of great fiction from anywhere in the world. As readers and writers ourselves, we read and re-read submissions in order to bring you something good. HOW IS IT DIFFERENT FROM OTHER JOURNALS? Two key things set us apart: anonymous submissions and the ?sound? bit. We are firm believers that writing should speak for itself. Once a story is written, it exists outside of the author. Yet the typical literary journal submission process requires a cover letter and an over"
44,Pictura Journal,"Fiction, Poetry, Nonfiction",15 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fe2cca0b1-13e4-4ace-977f-cac08da5df0f.png&w=256&q=75,14.29%,100,2024,United States,Pictura Journal seeks work that offers a vivid snapshot of its creator?s world?work that complicates the mundane and gives quiet moments room to breathe.,https://picturajournal.com/submit/,44Pictura Journal seeks work that offers a vivid snapshot of its creator?s world?work that complicates the mundane and gives quiet moments room to breathe.
45,Thin Veil Press,"Fiction, Poetry",56 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fd81ddf54-aafb-4d31-99e6-ef408cba12bd.png&w=256&q=75,20.97%,100,2023,United Kingdom,"As an online press for dark literature, we publish our nonprofit magazine issues annually on All Hallows? Eve (Oct 31st). We also accept submissions for publication on our website under Dark Reads. There?s no theme for these submissions, however we are always interested in horror and dark fiction surrounding the thinning of the veil. Give us ghosts, ghouls, and small town cryptids. Unleash something ancient from the abandoned crypt and make us wish you hadn?t.",https://thinveilpress.co.uk/submit,"45As an online press for dark literature, we publish our nonprofit magazine issues annually on All Hallows? Eve (Oct 31st). We also accept submissions for publication on our website under Dark Reads. There?s no theme for these submissions, however we are always interested in horror and dark fiction surrounding the thinning of the veil. Give us ghosts, ghouls, and small town cryptids. Unleash something ancient from the abandoned crypt and make us wish you hadn?t."
46,Landfall,"Fiction, Nonfiction, Poetry",137 days,https://www.otago.ac.nz/press/landfall/index.html,0%,100,1947,New Zealand,"Landfall contains literary fiction and essays, poetry, extracts from work in progress, commentary on New Zealand arts and culture, work by visual artists including photographers, and reviews of local books. Landfall is open to work by New Zealand and Pacific writers or by writers whose work has a connection to the region in subject matter or location. Work from Australian writers is occasionally included as a special feature.",https://www.otago.ac.nz/press/landfall/submissions,"46Landfall contains literary fiction and essays, poetry, extracts from work in progress, commentary on New Zealand arts and culture, work by visual artists including photographers, and reviews of local books. Landfall is open to work by New Zealand and Pacific writers or by writers whose work has a connection to the region in subject matter or location. Work from Australian writers is occasionally included as a special feature."
47,On the seawall,Fiction,16 days,https://www.chillsubs.com/_next/image?url=https%3A%2F%2Fchillsubs.s3.amazonaws.com%2Fa5d01662-960b-4378-a225-c55b315d15f2.png&w=256&q=75,7.69%,"3,000",2007,United States,"I launched On The Seawall in 2007 as a site for my personal page and occasional comment, but as my involvement with commentary grew along with the size of the site?s readership, On The Seawall soon evolved into a regularly refreshed book review site. In the spring of 2018, as the old and unfixable code underlying the site began to break down, I considered three options: shut it down, rebuild On The Seawall as it stands, or apply the resource and direct the site?s audience to a broader purpose. After discussing the potential with my friends, I decided to relaunch On The Seawall to accommodate diverse commentary, eclectic writing across genres, translations, and art. In particular, the site presents and discusses poetry, lyrical and speculative fiction, literature in translation, and cultural expression via essays and reviews.",https://www.ronslate.com/submit/,"47Landfall contains literary fiction and essays, poetry, extracts from work in progress, commentary on New Zealand arts and culture, work by visual artists including photographers, and reviews of local books. Landfall is open to work by New Zealand and Pacific writers or by writers whose work has a connection to the region in subject matter or location. Work from Australian writers is occasionally included as a special feature."
,,,,,,,,,,,nan
,,,,,,,,,,,nan
,,,,,,,,,,,nan
